,name_txt_file,short_description,category,availability,price,images,full_description,hash_in
201,2019-12-07_16-38-55_UTC.txt,"🧾 ОБУЧАЮЩИЙ АУДИОПЛАКАТ ""Изучаем время""
",Обучение,1,0,http://localhost:8888/sabi/wp-content/uploads/2023/02/2019-12-07_16-38-55_UTC.jpg,"⠀- в целоф. упаковке- 950 KZT🇰🇿 / 137 RUB🇷🇺⠀- в цветной коробке - 1 200 KZT🇰🇿 / 171 RUB🇷🇺⠀➡️ Обучающий плакат ""Изучаем время"" - это наглядное интерактивное пособие, которое поможет Вашему ребёнку в игровой форме разберётся и узнает, каким должен быть распорядок дня, чем отличаются времена года и запомнит названия дней недели.⠀Умная игрушка развлечёт малыша поучительными песенками и стихами, а также поможет запомнить всю важную информацию.⠀Плакат воспроизводит:⠀- 12 рассказов о месяцах,⠀- 10 весёлых песенок,⠀- 4 стишка про времена года,⠀- забавные фразы героев.⠀Работает от 3-х батареек типа ААА (не входит в комплект)⠀⠀#обучающийплакат#говорящийплакат#плакатобучающий#плакатыобучающие#обучающаяигрушка#обучающаяигрушкакупить#обучающийплакатоптом#обучающаяигрушканедорого#обучающийплакаталматы#плакатговорящий#обучающиеплакатыоптом#обучающийплакатастана#интерактивныйплакат#интерактивныйплакатоптоминтерактивныйплакаталматы#аудиоплакат#плакатдлямалышей#аудиоплакатыдлямалышей",1
208,2020-07-31_15-02-05_UTC.txt," 🏠 ДЕРЕВЯННЫЙ 2-х УРОВНЕВЫЙ ДОМИК (для кукол)
",Сюжетно-ролевые наборы,0,13000,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_15-02-05_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_15-02-05_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_15-02-05_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_15-02-05_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_15-02-05_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_15-02-05_UTC_6.jpg","⠀➡️ Красивый 2-х этажный розовый особняк с мебелью - мечта любой маленькой девочки.⠀Розовый особняк станет настоящим украшением интерьера детской комнаты.⠀Он выглядит почти как настоящий, не имеет внешних стен и полностью просматривается.⠀Отличительной особенностью данного домика является его открытость со всех сторон, что позволяет играть в него сразу нескольким деткам.⠀В набор входит комплект мебели для различных сюжетных игр.⠀Как игрушка, кукольный дом из дерева исполняет особую развивающую функцию.⠀Расставляя мебель, убирая, сервируя стол и копируя семейный быт девочка познает себя в роли матери, заботливой жены и гостеприимной хозяйки.⠀Деревянный кукольный домик сделан из прочных натуральных материалов.⠀В коробке подробная инструкция для самостоятельной сборки.⠀⠀#домикдлякукол#домикдлякуклы#деревянныйдомикдлякукол#кукольныйдомикиздерева#домдлякуколки#домикдлякуколоптом#оптомдомикдлякукол#оптомдеревянныйдомикдлякукол#домдлякуклы#домикдлякуколалматы",1
210,2020-04-18_13-12-57_UTC.txt,"🎴 НАСТОЛЬНАЯ ИГРА Домино ""Половинки""
",Настольные игры,0,900,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_13-12-57_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_13-12-57_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_13-12-57_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_13-12-57_UTC_4.jpg","⠀➡️ Настольные игры - незаменимый помощник в деле развития малыша. Они помогают сформировать богатый словарный запас, способствуют развитию логического мышления, а также быстроты реакции.⠀Едва ли не самой популярной настолько игрой является детское домино.⠀Мы предлагаем детский вариант домино изготовленный из дерева.⠀Чтобы деткам больше нравилось играть, скучные взрослые точки заменены рисунками - это птички или рыбки, животные или машинки, деревья или игрушки, а также многое другое.⠀Условие игры - найти подходящую костяшку с изображением второй половинки картинки.⠀Красивые костяшки помогают изучить новые слова без проблем, ведь произноситься они будут очень часто.⠀В процессе игры ребенок узнает массу новой информации об окружающем мире и не только.⠀👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 100 шт.⠀#доминодетское#детскоедомино#доминосрисунками#доминодлядетей#настольнаяигра#доминооптом",1
213,2020-11-25_16-32-04_UTC.txt,"🦒 СИЛИКОНОВЫЙ ПРОРЕЗЫВАТЕЛЬ - МАССАЖЁР «Жираф» в защитном футляре
",Игрушки для малышей,1,550,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_7.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-25_16-32-04_UTC_8.jpg","⠀➡️ Этот жираф из пищевого силикона, который так полюбился детям придуман в Японии.⠀Каждый его сантиметр продуман до мелочей.⠀Малышам удобно держать грызунок за любую его часть, ручка обхватывает и крепко держит жирафа.⠀Размеры ног и головы фигурки подобранны так, чтобы массировать самые отдаленные части ротовой полости, при этом нет никакой возможности засунуть слишком глубоко в рот, подавиться или повредить горло или нёбо.⠀Рельефная текстура прорезывателя хорошо массирует десна малышей.⠀Пищевой силикон из которого изготовлен прорезыватель абсолютно безопасен для малышей.⠀Не содержит бисфенола А, не токсичен, не загрязняет окружающую среду, абсолютно безопасен для ребенка.⠀Изделие может поставляется в пластиковом контейнере (футляре) , который поможет сохранять игрушку чистой.⠀👶 ВОЗРАСТ: от 0+🧪 МАТЕРИАЛ: высококачественный пищевой силикон🛍️ УПАКОВКА: пластиковый футляр📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 200 шт.#прорезывательдетский#грызунок#детскийпрорезыватель#детскийгрызунок#прорезывательдлямалыша#грызунокдляребенка#режутсязубки#первыезубки#прорезывателиоптом#силиконовыегрызунки#силиконовыйгрызунок#грызунокжираф#прорезывательжираф#силиконовыйпрорезыватель#грызункиоптом#детскиегрызункиоптом#грызунокдлязубов#прорезывательдлязубов#силиконовыйпрорезыватель#прорезываниезубовмалышей",1
215,2020-05-23_17-50-15_UTC.txt,"🧺 ПУФ-ОРГАНАЙЗЕР ДЛЯ ИГРУШЕК ""School Bus""
",Хранение игрушек,0,2900,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-23_17-50-15_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-23_17-50-15_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-23_17-50-15_UTC_3.jpg","⠀➡️ Удобная коробка ""2в1"" - ее можно использовать как стул и для хранения игрушек, вещей, книг или журналов.Благодаря красочному дизайну этого пуфика и ассортимента цветов от него будет в восторге каждый ребенок!⠀Такой веселый автобус впишется в интерьер любой детской комнаты!⠀Материал - экокожа.⠀Выдерживаемый вес до 80 кг.⠀Товар представлен в 4-х цветах: красный, зелёный, желтый, синий.⠀Размеры: высота-33 см, ширина-32см, длина-57см.⠀⠀#корзинадляигрушек#корзиныдляигрушек#корзинадляигрушекоптом#корзинадляигрушекнедорого#корзиныдляигрушекоптом#корзиныдляигрушекнедорого#корзиныдляхраненияигрушек#игрушечныекорзины#игрушечныекорзиныоптом#коробкадляигрушек#коробкадляигрушекоптом#коробкадляигрушекнедорого#корзинадляигрушексосклада#корзиныдляхраненияигрушексоскладакорзинадляигрушекалматы#корзинадляигрушекоптомсосклада",1
216,2020-07-31_13-06-52_UTC.txt,"🏫 ДЕРЕВЯННЫЙ 3-х УРОВНЕВЫЙ ДОМИК (для кукол)
",Сюжетно-ролевые наборы,0,18000,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_13-06-52_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_13-06-52_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_13-06-52_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_13-06-52_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_13-06-52_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_13-06-52_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-31_13-06-52_UTC_7.jpg","⠀Деревянный трехэтажный домик для кукол с мебелью -  великолепная игрушка, которая непременно понравится каждой девочке в возрасте от 3-х лет.⠀Такой стильный и современный особняк будет гармонично сочетаться с интерьером детской комнаты.⠀Кукольный домик характеризуется превосходной функциональностью, качественной внешней и внутренней отделкой, хорошим уровнем детализации.⠀В наборе предусмотрены комплекты мебели для каждого из 3-х этажей, которую дети могут расставить по своему усмотрению.⠀Проведенное за игрой с домиком время положительно сказывается на развитии фантазии и воображения, пространственного мышления, мелкой моторики и координации движений ребенка.⠀Для изготовления домика используется высококачественная древесина.⠀⠀#домикдлякукол#домикдлякуклы#деревянныйдомикдлякукол#кукольныйдомикиздерева#домдлякуколки#домикдлякуколоптом#оптомдомикдлякукол#оптомдеревянныйдомикдлякукол#домдлякуклы#домикдлякуколалматы",1
227,2020-05-26_20-14-44_UTC.txt,"🐰 НАСТОЛЬНАЯ ИГРА-ГОЛОВОЛОМКА ""Застенчивый кролик""
",Головоломки,1,4500,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-26_20-14-44_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-26_20-14-44_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-26_20-14-44_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-05-26_20-14-44_UTC_4.jpg","⠀➡️ Увлекательная, развивающая игра для детей от 2-х до 5-ти лет.⠀Маленький кролик очень стеснительный и все время прячется в своих домиках. А собрать ребенок сможет с помощью карточек-заданий.⠀В набор входят 60 карточек с заданиями, деревянная фигурка кролика, 3 части домика, а также подсказка с ответами, так как правильных вариантов может быть несколько.⠀Карточки разделены на 4 уровня сложности:⠀- Зеленый уровень – самый простой – первое знакомство с блоками. Подойдет на возраст от 2х лет.⠀- Желтый уровень – несколько сложнее. Появляются несколько блоков одновременно. Возраст от 3х лет.⠀- Красный уровень – нужно задействовать все три кубика. Подойдет ребенку в 4 года.⠀- Синий уровень – самый трудный. Его смогут выполнить дети в возрасте 5ти лет.⠀Таким образом, игра «растет» вместе с ребенком и будет актуальна для него в течение нескольких лет.⠀Кубики прокрашены яркими, нетоксичными красками. Кролика очень приятно держать в руках.⠀Игра развивает логику, пространственное мышление, познавательные способности ребенка, познакомит с цветами.⠀Она непременно надолго увлечет ребенка.⠀👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 24 шт.⠀#настольнаяигра#настольныеигры#настольныеигрыоптом#настольныеигрысосклада#настольныеигрыалматы#игранастольная#игрыдлявсейсемьи#иградлядетей#настольныеигрыоптомсосклада#логическиеигрыоптом#логическаяигра#логическиеигры#логическиеигрыдлядетей#детскиелогическиеигры#логическиеигрыалматы#логическиеигрысосклада#логическаяиграсосклада#логическаяиграоптом#играголоволомка#головоломкадлядетей#головоломкидлядетей#детскиеголоволомкиоптом#детскиеголоволомкиалматы#детскиеголоволомкиастана",1
229,2021-03-23_07-10-58_UTC.txt,"⛹️⛹️‍♀️ БОЛЬШОЙ ИГРОВОЙ МАНЕЖ с футбольными воротами и баскетбольным кольцом (с 10 мячиками)
",Сюжетно-ролевые наборы,0,13200,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_7.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-03-23_07-10-58_UTC_8.jpg","⠀➡️ Детский игровой манеж – это место развития и роста малышей. Именно поэтому игровой манеж - необходимая вещь для каждой молодой семьи. Стоит помнить, что в манеже детки смогут ползать, играть, учится подниматься, делать первые шажки и развиваться.⠀Благодаря большой площади и вместительности манеж очень удобен для 2-х деток и более!⠀Манеж оснащен дополнительными функциональными элементами - футбольными воротами и баскетбольным кольцом - для активных и спортивных игр детям старшего возраста, а также 10 цветными шариками⠀Этот манеж практичен и надежен, сделан из качественных материалов (рама из металической трубки, а ткань выполнена под лен) и имеет жесткое дно.⠀К тому же он достаточно просторный. В нем грамотно продумана безопасность, все четыре угла защищены накладками, которые не дадут малышу пораниться.⠀Устойчивый металлический каркас исключают возможность манежу перевернуться.⠀Прозрачный материал боковых стенок позволят маме наблюдать за ребенком и хорошо пропускают свет, а компактные размеры в сложенном виде помогут при транспортировке или спрятать в любое место.⠀Товар представлен в 2 расцветках: синий и красный.⠀Упаковка - крафтовая коробка.⠀⠀#игрушкиоптом#игрушкиоптомизкитая#игрушкиопт#игрушкикитай#игрушкимечты#игрушкидетям#детскиеигрушки#популярныеигрушки#игрушкидлямальчиков#игрушкидлядевочек#удивительныеигрушки#деревянныеигрушки#деревянныеигрушкиоптом#детскиеигрушкиоптом#игрушкисосклада#игрушкидлямалышей#развивающиеигрушки#развивающиеигрушкиоптом#развивающиеигры#развивающиеигрыоптом#игрушкиразвивающие#игрушкиразвивающиеоптом#детскиеигрушкиизкитая#игрушкиизкитаяоптом#игрушкиоптомиу#игрушкиоптомшаньтоу#игрушкиотпроизводителя#детскиеигрушкиотфабрики#игрушкинапрямуюотфабрики",1
239,2020-01-13_17-47-43_UTC.txt,"🧮 ОБУЧАЮЩИЙ ДЕРЕВЯННЫЙ СЧЁТНЫЙ НАБОР в пенале
",Обучение,1,600,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-13_17-47-43_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-13_17-47-43_UTC_2.jpg","⠀➡️ Цветные деревянные счета с палочками и цифрами будет лучшим подарком для каждого школьника.⠀Изготовлен из качественных экологических материалов, безопасных для детей.⠀Благодаря достаточному количеству предметов можно научить детей считать, складывать и вычитать.⠀В комплекте дощечки со знаками математических операций, дощечки с цифрами и разноцветные счетные палочки.⠀👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево, высококачественный ABS-пластик🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 120 шт.⠀#деревяннаяигрушка#развивающиеигрушки#развивайка#развивашки#развивайкадлядетей#развивашкадлядетей#игрушкимонтессори#монтессориигрушки#деревянныеигрушки#деревянныеигрушкиоптом#деревянныеигрушкиоптомалматы#развивашкидлямалышей#деревянныеигрушкидлямалышей#деревянныеигрушкимонтессори#монтессори#монтессориигрушка#монтессориигрушкиоптом#монтессориигрушкиоптомалматы#игрушкимонтессориоптом#игрушкимонтессориоптомалматы#игрушкаоптом#игрушкиоптомалматы#игрушкиалматы#игрушкисосклада#игрушкисоскладаалматы#разаивающиеигрушкинедорого#развивашкинедорого#развивайкинедорого#игрушкимонтессоринедорого#монтессориигрушкинедорого",1
246,2020-04-18_19-42-58_UTC.txt,"👩‍🍳🍲 ДЕРЕВЯННАЯ ИГРОВАЯ КУХНЯ с холодильником
",Сюжетно-ролевые наборы,0,36200,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-42-58_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-42-58_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-42-58_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-42-58_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-04-18_19-42-58_UTC_5.jpg","⠀Большая, яркая, современная и деревянная!⠀Именно такой должна быть идеальная детская кухня, которая точно понравится любой хозяйке.⠀Вне зависимости от пола и возраста, каждый ребенок найдет, что приготовить и как использовать игрушечную кухню, особенно будет весело играть в компании!⠀Шкафчики, фурнитура и бытовая техника выглядят, как настоящие уменьшенные копии! Все дверцы открываются и закрываются.⠀На кухне есть все необходимое - варочная панель, раковина с краном, микроволновка, холодильник и даже стиральная машина. Поворотные ручки на приборах позволят детям представить, что они усердно работают на настоящей кухне.⠀Нежно-розовый и светло-бирюзовый цвета материала кухни призваны не просто порадовать маленькую хозяйку, но и стать для нее источником хорошего настроения.⠀Ярко-нежные цвета и прочная конструкция делают эту кухню блестящим и безопасным дополнением к любой игровой комнате.⠀⠀#деревяннаякухня#игроваякухня#игроваякухняоптом#деревяннаякухняоптом#детскаякухня#детскаякухняоптом#детскаякухняалматы#детскаякухняастана#игроваякухняастана#кухнядлядевочек#детскиекухни#детскиекухниоптом#детскиекухнисосклада",1
250,2021-04-10_04-33-46_UTC.txt,"📚 МЯГКИЕ ТАКТИЛЬНЫЕ КНИЖКИ С ХВОСТАМИ ""Baby book""
",Моторика,0,1200,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_7.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2021-04-10_04-33-46_UTC_8.jpg","➡️Кто сказал, что книги нужны только для чтения?⠀Первая книжка малыша ""Baby book"" – это яркая, увлекательная и занимательная игрушка, которая поможет ребенку в раннем развитии.⠀Тканевая книжка лучше всего подойдет на роль первой книжечки вашего ребенка. Он подолгу будет рассматривать яркие рисунки и изучать, щупать и пробовать на вкус яркие торчащие хвосты загадочных животных.⠀Странички книжки обладают ""шуршащими"" свойствами.⠀Яркие разнофактурные хвостики жителей книжки таинственно выглядывают, и так и манят потянуть, пощупать и перевернуть очередную страничку.⠀Изучая двухсторонние страницы, малыш сможет познакомится с окружающим миром в удобной игровой форме.⠀Преимущество такой книги в том, что об неё невозможно поранится, а в случае загрязнения её легко отмыть.⠀Книжки изготовлены из качественных текстильных материалов.⠀Мягкая тканевая книжка способствует развитию тактильного и зрительного восприятия, хватательных рефлексов и мелкой моторики ребенка.⠀Книжка состоит из 8 страниц.⠀⠀#тканеваякнижка#тканеваякнига#мягкаякнигасхаостами#книжкасхвостами#тканеваякнижкасхвостами#книжкадлямалышей#книгадлямалыша#книгасхвостами#мягкаякнижка#мягкаякнига#мягкаякнигадлямалыша#тканеваякнижка#книжкатканевая",1
251,2022-04-24_23-44-40_UTC.txt,"📅🕓 МНОГОФУНКЦИОНАЛЬНАЯ ОБУЧАЮЩАЯ ДОСКА «Календарь с часами»
",Обучение,1,1000,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-24_23-44-40_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-24_23-44-40_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-24_23-44-40_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2022-04-24_23-44-40_UTC_4.jpg","➡️ Многофункциональная обучающая игрушка«Календарь с часами» - это целый обучающий комплекс для совместных занятий с ребёнком.⠀Изучайте часы и минуты на крупном разноцветном циферблате с весёлыми стрелками!⠀Кроме того, с помощью календаря можно освоить числа и дни недели, познакомить ребенка с такими понятиями как погода, время суток, а также месяцы и времена года.⠀Объясните ребёнку, как меняется погода в разные времена года и что такое световой день.⠀Ваш малыш с удовольствием познакомится с устройством мира в процессе игры, познакомится с абстрактными понятиями, разовьет мелкую моторику, память, усидчивость и обогатит словарный запас.👶 ВОЗРАСТ: от 3-лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: термопленка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 30 шт.#развивающаяигрушка#игрушкаразвивающая#развивающиеигрушкиоптом#оптомразвивающиеигрушки#обучающиеигрушки#игрушкидляразвития",1
259,2020-01-29_11-21-33_UTC.txt,"☕ ДЕРЕВЯННЫЙ ИГРОВОЙ ЧАЙНЫЙ СЕРВИЗ «Вишенка»
",Сюжетно-ролевые наборы,1,4950,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-29_11-21-33_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-29_11-21-33_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-29_11-21-33_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-29_11-21-33_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-01-29_11-21-33_UTC_5.jpg","⠀⠀ ➡️ Деревянный чайный набор - роскошный подарок для маленькой хозяюшки!⠀В наборе 12 предметов нежнейшей розовой окраски: 1 чайник, 2 чашки, 2 блюдца, 2 ложки, 1 сахарница, 1 молочница, 2 чайных пакетика и 1 большой поднос.⠀С такой посудкой можно устраивать отличное игрушечное чаепитие с любимыми куклами или с подружками.⠀Зовите быстрее гостей, будет весело!👶 ВОЗРАСТ: от 3-х лет🧪 МАТЕРИАЛ: дерево🛍️ УПАКОВКА: цветная коробка📦 КОЛ-ВО В ТРАНСПОРТНОЙ КОРОБКЕ: 18 шт.⠀#детскийчайныйнабор#деревянныйчайныйсервиз#деревянныйчайныйнабор#деревянныйнаборпосуды#посудаиздереваалмааты#игровойнаборпосуды#посудадлядевочек#деревяннаяпосудадляигр##деревянныеигрушки#деревянныеигрушкиалматы#деревянныеигрушкиоптом#деревянныеигрушкиоптомалматы#деревянныеигрушкисосклада#деревянныеигрушкинедорого",1
261,2020-11-24_17-42-46_UTC.txt," 👩‍🍳🍲 ДЕРЕВЯННАЯ ИГРОВАЯ КУХНЯ СО ШКАФОМ
",Сюжетно-ролевые наборы,0,25200,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_3.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_4.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_5.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_6.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_7.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-11-24_17-42-46_UTC_8.jpg","⠀➡️Большая, яркая, современная и деревянная!⠀Именно такой должна быть идеальная детская кухня, которая точно понравится любой хозяйке.⠀Вне зависимости от пола и возраста, каждый ребенок найдет, что приготовить и как использовать игрушечную кухню, особенно будет весело играть в компании!⠀Шкафчики, фурнитура и бытовая техника выглядят, как настоящие уменьшенные копии! Все дверцы открываются и закрываются.⠀На кухне есть все необходимое - варочная панель, раковина с краном, микроволновка, вместимый шкаф и даже стиральная машина. Поворотные ручки на приборах позволят детям представить, что они усердно работают на настоящей кухне.⠀Нежно-розовый и светло-бирюзовый цвета материала кухни призваны не просто порадовать маленькую хозяйку, но и стать для нее источником хорошего настроения.⠀Ярко-нежные цвета и прочная конструкция делают эту кухню блестящим и безопасным дополнением к любой игровой комнате.⠀⠀#деревяннаякухня#игроваякухня#игроваякухняоптом#деревяннаякухняоптом#детскаякухня#детскаякухняоптом#детскаякухняалматы#детскаякухняастана#игроваякухняастана#кухнядлядевочек#детскиекухни#детскиекухниоптом#детскиекухнисосклада",1
271,2020-07-02_12-14-05_UTC.txt,"🤖 РОБОТОТЕХНИЧЕСКИЙ КОНСТРУКТОР ""14в1"" на солнечной батарее
",Конструкторы,0,2700,"http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-14-05_UTC_1.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-14-05_UTC_2.jpg,http://localhost:8888/sabi/wp-content/uploads/2023/02/2020-07-02_12-14-05_UTC_3.jpg","⠀➡️ Это конструктор, из которого можно составить 14 различных моделей. Собранные модели приводятся в движение двигателями, которые питаются от солнечных панелей. Робот работает на солнечной энергии и не требует батареек. Роботы могут двигаться по суше и воде.⠀По сложности сборки роботы делятся на два уровня.Роботы первого уровня:1. Робот-черепаха2. Шагающий робот3. Робот на 4 ногах (квадробот)4. Робот на колесах5. Робот-лодка6. Робот-жук7. Робот-собака⠀Роботы второго уровня:8. Робот-автомобиль9. Робот-краб10. Ползучий робот11. Робот-неваляшка12. Робот-боксер (зомби)13. Робот-серфер14. Робот-гребец⠀Роботы, собранные из конструктора, выполняют различные функциональные движения, такие, как виляние хвостом собаки-робота, походка жука, скольжения, гребля и т.д.⠀Полярность на солнечной панели можно регулировать, чтобы изменить направление вращения двигателя. Благодаря прозрачному корпусу можно видеть как шестерни двигаются.⠀Солнечная батарея наиболее эффективно работает при ярком солнечном свете. В пасмурную погоду эффективность значительно снижается. В помещении в качестве источника световой энергии можно использовать галогенную лампу мощностью не менее 100 Вт.⠀⠀#игрушкироботтотехника#робототехника#робототехникаалматы#умныеигрушки#интерактивныеигрушки#роботыигрушки#интерактивныероботы#роботостроение#умныйробот#роботнасолнечнойэнергии#роботнасолнечнойбатарее#конструкторробот#роботконструктор#интерактивныеигрушкиалматы#роботы#робототехникадлядетей#игрушкаробот#роботигрушка#роботдлядетей#игровойробот#солнечныйконструктор#конструктор14в1#14в1конструктор#роботы14в1#14в1роботы#солнечныероботы14в1#14в1солнечныероботы",1
